DATE,TAVG
2019-12-08,74
2019-12-09,75
2019-12-10,76
2019-12-11,75
2019-12-12,75
2019-12-13,77
2019-12-14,77
2019-12-15,77
2019-12-16,75
2019-12-17,75
2019-12-18,75
2019-12-19,74
2019-12-20,74
2019-12-21,75
2019-12-22,75
2019-12-23,73
2019-12-24,75
2019-12-25,76
2019-12-26,76
2019-12-27,76
2019-12-28,72
2019-12-29,72
2019-12-30,73
2019-12-31,72
2020-01-01,75
2020-01-02,76
2020-01-03,76
2020-01-04,75
2020-01-05,74
2020-01-06,74
2020-01-07,76
2020-01-08,77
2020-01-09,75
2020-01-10,74
2020-01-11,73
2020-01-12,74
2020-01-13,77
2020-01-14,76
2020-01-15,75
2020-01-16,76
2020-01-17,76
2020-01-18,76
2020-01-19,78
2020-01-20,78
2020-01-21,78
2020-01-22,77
2020-01-23,75
2020-01-24,77
2020-01-25,78
2020-01-26,79
2020-01-27,80
2020-01-28,81
2020-01-29,80
2020-01-30,78
2020-01-31,78
2020-02-01,79
2020-02-02,77
2020-02-03,78
2020-02-04,81
2020-02-05,80
2020-02-06,81
2020-02-07,81
2020-02-08,77
2020-02-09,70
2020-02-10,73
2020-02-11,75
2020-02-12,76
2020-02-13,76
2020-02-14,78
2020-02-15,80
2020-02-16,80
2020-02-17,80
